,id,prodName,prodCatid,prodCat,prodPcatid,prodPcat,lowPrice,highPrice,avgPrice,place,specInfo,unitInfo,pubDate,status,userIdCreate,userIdModified,userCreate,userModified,gmtCreate,gmtModified
0,1416319,大白菜,1186,蔬菜,,,0.25,0.65,0.45,冀鄂鲁,,斤,2023-03-21 00:00:00,,138,,admin,,,
1,1416318,娃娃菜,1186,蔬菜,,,0.8,1.2,1.0,冀云,,斤,2023-03-21 00:00:00,,138,,admin,,,
2,1416317,小白菜,1186,蔬菜,,,1.0,1.2,1.1,冀,,斤,2023-03-21 00:00:00,,138,,admin,,,
3,1416316,圆白菜,1186,蔬菜,,,1.0,1.5,1.25,冀鲁,大棚,斤,2023-03-21 00:00:00,,138,,admin,,,
4,1416315,圆白菜,1186,蔬菜,,,0.4,0.55,0.48,鄂,露地,斤,2023-03-21 00:00:00,,138,,admin,,,
5,1416314,紫甘蓝,1186,蔬菜,,,0.7,0.9,0.8,云,,斤,2023-03-21 00:00:00,,138,,admin,,,
6,1416313,芹菜,1186,蔬菜,,,0.7,0.9,0.8,津鲁冀,,斤,2023-03-21 00:00:00,,138,,admin,,,
7,1416312,西芹,1186,蔬菜,,,2.1,2.4,2.25,鲁辽,,斤,2023-03-21 00:00:00,,138,,admin,,,
8,1416311,菠菜,1186,蔬菜,,,1.0,1.8,1.4,冀鲁,长\短,斤,2023-03-21 00:00:00,,138,,admin,,,
9,1416310,莴笋,1186,蔬菜,,,1.5,2.2,1.85,皖闽浙云,,斤,2023-03-21 00:00:00,,138,,admin,,,
10,1416309,团生菜,1186,蔬菜,,,3.0,4.0,3.5,云,,斤,2023-03-21 00:00:00,,138,,admin,,,
11,1416308,散叶生菜,1186,蔬菜,,,2.5,3.1,2.8,冀辽,,斤,2023-03-21 00:00:00,,138,,admin,,,
12,1416307,罗马生菜,1186,蔬菜,,,2.3,2.5,2.4,云,,斤,2023-03-21 00:00:00,,138,,admin,,,
13,1416306,油菜,1186,蔬菜,,,1.0,1.3,1.15,鲁苏,大\小,斤,2023-03-21 00:00:00,,138,,admin,,,
14,1416305,香菜,1186,蔬菜,,,2.5,4.5,3.5,冀,,斤,2023-03-21 00:00:00,,138,,admin,,,
15,1416304,茴香,1186,蔬菜,,,1.5,1.8,1.65,冀,,斤,2023-03-21 00:00:00,,138,,admin,,,
16,1416303,韭菜,1186,蔬菜,,,1.7,2.2,1.95,冀,,斤,2023-03-21 00:00:00,,138,,admin,,,
17,1416302,苦菊,1186,蔬菜,,,2.5,3.5,3.0,冀辽,,斤,2023-03-21 00:00:00,,138,,admin,,,
18,1416301,油麦菜,1186,蔬菜,,,2.7,3.0,2.85,云冀辽,,斤,2023-03-21 00:00:00,,138,,admin,,,
19,1416300,散菜花,1186,蔬菜,,,2.3,3.5,2.9,云闽浙,,斤,2023-03-21 00:00:00,,138,,admin,,,
